timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:51.764, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:51.765, GeForce RTX 2080 Ti, P8, 34, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:52.057, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:52.058, GeForce RTX 2080 Ti, P8, 34, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:52.287, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:52.288, GeForce RTX 2080 Ti, P8, 34, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:52.510, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:52.511, GeForce RTX 2080 Ti, P8, 34, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:52.746, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:52.748, GeForce RTX 2080 Ti, P8, 34, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:52.977, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:52.979, GeForce RTX 2080 Ti, P8, 34, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:53.241, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:53.242, GeForce RTX 2080 Ti, P8, 34, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:53.469, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:53.470, GeForce RTX 2080 Ti, P8, 35, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 20:01:53.713, GeForce RTX 2080 Ti, P8, 38, 0 %, 0 %, 11016 MiB, 8390 MiB, 2626 MiB
2023/12/10 20:01:53.715, GeForce RTX 2080 Ti, P8, 34, 0 %, 0 %, 11019 MiB, 6313 MiB, 4706 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
