timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:46.876, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:47.111, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:47.112, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:47.352, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:47.353, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:47.582, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:47.583, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:47.832, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:47.833, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:48.058, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:48.059, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/10 21:15:48.287, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11016 MiB, 11015 MiB, 1 MiB
2023/12/10 21:15:48.288, GeForce RTX 2080 Ti, P8, 41, 0 %, 0 %, 11019 MiB, 11018 MiB, 1 MiB
