timestamp, name, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/12/04 14:51:50.212, A100-SXM4-40GB, P0, 50, 95 %, 11 %, 40537 MiB, 36803 MiB, 3734 MiB
2023/12/04 14:51:50.213, A100-SXM4-40GB, P0, 36, 0 %, 0 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:51:50.213, A100-SXM4-40GB, P0, 47, 63 %, 30 %, 40537 MiB, 39554 MiB, 983 MiB
2023/12/04 14:51:50.214, A100-SXM4-40GB, P0, 58, 76 %, 13 %, 40537 MiB, 35895 MiB, 4642 MiB
2023/12/04 14:51:50.215, A100-SXM4-40GB, P0, 40, 0 %, 0 %, 40537 MiB, 31811 MiB, 8726 MiB
2023/12/04 14:51:50.216, A100-SXM4-40GB, P0, 42, 68 %, 38 %, 40537 MiB, 6525 MiB, 34012 MiB
2023/12/04 14:51:51.217, A100-SXM4-40GB, P0, 36, 31 %, 18 %, 40537 MiB, 6134 MiB, 34403 MiB
2023/12/04 14:51:51.218, A100-SXM4-40GB, P0, 33, 14 %, 8 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:51:51.219, A100-SXM4-40GB, P0, 53, 95 %, 14 %, 40537 MiB, 36707 MiB, 3830 MiB
2023/12/04 14:51:51.220, A100-SXM4-40GB, P0, 34, 0 %, 0 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:51:51.222, A100-SXM4-40GB, P0, 47, 36 %, 18 %, 40537 MiB, 39554 MiB, 983 MiB
2023/12/04 14:51:51.223, A100-SXM4-40GB, P0, 57, 63 %, 6 %, 40537 MiB, 35895 MiB, 4642 MiB
2023/12/04 14:51:51.225, A100-SXM4-40GB, P0, 40, 0 %, 0 %, 40537 MiB, 31811 MiB, 8726 MiB
2023/12/04 14:51:51.226, A100-SXM4-40GB, P0, 42, 69 %, 38 %, 40537 MiB, 6525 MiB, 34012 MiB
2023/12/04 14:51:52.227, A100-SXM4-40GB, P0, 35, 44 %, 26 %, 40537 MiB, 6134 MiB, 34403 MiB
2023/12/04 14:51:52.233, A100-SXM4-40GB, P0, 33, 35 %, 11 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:51:52.234, A100-SXM4-40GB, P0, 49, 71 %, 10 %, 40537 MiB, 36831 MiB, 3706 MiB
2023/12/04 14:51:52.241, A100-SXM4-40GB, P0, 35, 0 %, 0 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:51:52.245, A100-SXM4-40GB, P0, 47, 55 %, 27 %, 40537 MiB, 39554 MiB, 983 MiB
2023/12/04 14:51:52.249, A100-SXM4-40GB, P0, 56, 65 %, 6 %, 40537 MiB, 35895 MiB, 4642 MiB
2023/12/04 14:51:52.253, A100-SXM4-40GB, P0, 40, 0 %, 0 %, 40537 MiB, 31811 MiB, 8726 MiB
2023/12/04 14:51:52.254, A100-SXM4-40GB, P0, 42, 68 %, 38 %, 40537 MiB, 6525 MiB, 34012 MiB
2023/12/04 14:51:53.258, A100-SXM4-40GB, P0, 34, 46 %, 27 %, 40537 MiB, 6134 MiB, 34403 MiB
2023/12/04 14:51:53.260, A100-SXM4-40GB, P0, 34, 47 %, 19 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:51:53.261, A100-SXM4-40GB, P0, 50, 82 %, 6 %, 40537 MiB, 34873 MiB, 5664 MiB
2023/12/04 14:51:53.262, A100-SXM4-40GB, P0, 37, 77 %, 9 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:51:53.263, A100-SXM4-40GB, P0, 47, 57 %, 28 %, 40537 MiB, 39554 MiB, 983 MiB
2023/12/04 14:51:53.263, A100-SXM4-40GB, P0, 50, 3 %, 0 %, 40537 MiB, 35895 MiB, 4642 MiB
2023/12/04 14:51:53.264, A100-SXM4-40GB, P0, 40, 0 %, 0 %, 40537 MiB, 31811 MiB, 8726 MiB
2023/12/04 14:51:53.265, A100-SXM4-40GB, P0, 42, 68 %, 39 %, 40537 MiB, 6525 MiB, 34012 MiB
2023/12/04 14:51:54.266, A100-SXM4-40GB, P0, 35, 38 %, 23 %, 40537 MiB, 6134 MiB, 34403 MiB
2023/12/04 14:51:54.268, A100-SXM4-40GB, P0, 35, 26 %, 8 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:51:54.270, A100-SXM4-40GB, P0, 47, 84 %, 16 %, 40537 MiB, 36671 MiB, 3866 MiB
2023/12/04 14:51:54.272, A100-SXM4-40GB, P0, 43, 99 %, 59 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:51:54.273, A100-SXM4-40GB, P0, 47, 57 %, 35 %, 40537 MiB, 39554 MiB, 983 MiB
2023/12/04 14:51:54.275, A100-SXM4-40GB, P0, 57, 83 %, 12 %, 40537 MiB, 35895 MiB, 4642 MiB
2023/12/04 14:51:54.276, A100-SXM4-40GB, P0, 40, 0 %, 0 %, 40537 MiB, 31811 MiB, 8726 MiB
2023/12/04 14:51:54.279, A100-SXM4-40GB, P0, 42, 65 %, 36 %, 40537 MiB, 6525 MiB, 34012 MiB
2023/12/04 14:51:55.282, A100-SXM4-40GB, P0, 34, 46 %, 27 %, 40537 MiB, 6134 MiB, 34403 MiB
2023/12/04 14:51:55.283, A100-SXM4-40GB, P0, 35, 0 %, 0 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:51:55.284, A100-SXM4-40GB, P0, 53, 98 %, 14 %, 40537 MiB, 36769 MiB, 3768 MiB
2023/12/04 14:51:55.285, A100-SXM4-40GB, P0, 37, 3 %, 2 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:51:55.285, A100-SXM4-40GB, P0, 42, 20 %, 0 %, 40537 MiB, 39554 MiB, 983 MiB
2023/12/04 14:51:55.286, A100-SXM4-40GB, P0, 57, 84 %, 12 %, 40537 MiB, 35895 MiB, 4642 MiB
2023/12/04 14:51:55.287, A100-SXM4-40GB, P0, 40, 0 %, 0 %, 40537 MiB, 31811 MiB, 8726 MiB
2023/12/04 14:51:55.288, A100-SXM4-40GB, P0, 42, 66 %, 37 %, 40537 MiB, 6525 MiB, 34012 MiB
2023/12/04 14:51:56.289, A100-SXM4-40GB, P0, 34, 47 %, 27 %, 40537 MiB, 6134 MiB, 34403 MiB
2023/12/04 14:51:56.291, A100-SXM4-40GB, P0, 32, 0 %, 0 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:51:56.292, A100-SXM4-40GB, P0, 50, 54 %, 8 %, 40537 MiB, 36667 MiB, 3870 MiB
2023/12/04 14:51:56.293, A100-SXM4-40GB, P0, 34, 0 %, 0 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:51:56.294, A100-SXM4-40GB, P0, 45, 58 %, 27 %, 40537 MiB, 39554 MiB, 983 MiB
2023/12/04 14:51:56.295, A100-SXM4-40GB, P0, 58, 83 %, 12 %, 40537 MiB, 35895 MiB, 4642 MiB
2023/12/04 14:51:56.296, A100-SXM4-40GB, P0, 40, 0 %, 0 %, 40537 MiB, 31811 MiB, 8726 MiB
2023/12/04 14:51:56.297, A100-SXM4-40GB, P0, 42, 66 %, 37 %, 40537 MiB, 6525 MiB, 34012 MiB
2023/12/04 14:51:57.298, A100-SXM4-40GB, P0, 35, 43 %, 25 %, 40537 MiB, 6134 MiB, 34403 MiB
2023/12/04 14:51:57.299, A100-SXM4-40GB, P0, 32, 0 %, 0 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:51:57.299, A100-SXM4-40GB, P0, 48, 72 %, 7 %, 40537 MiB, 34883 MiB, 5654 MiB
2023/12/04 14:51:57.301, A100-SXM4-40GB, P0, 35, 0 %, 0 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:51:57.301, A100-SXM4-40GB, P0, 47, 56 %, 26 %, 40537 MiB, 39554 MiB, 983 MiB
2023/12/04 14:51:57.302, A100-SXM4-40GB, P0, 57, 85 %, 14 %, 40537 MiB, 35895 MiB, 4642 MiB
2023/12/04 14:51:57.303, A100-SXM4-40GB, P0, 40, 0 %, 0 %, 40537 MiB, 31811 MiB, 8726 MiB
2023/12/04 14:51:57.304, A100-SXM4-40GB, P0, 42, 66 %, 36 %, 40537 MiB, 6525 MiB, 34012 MiB
2023/12/04 14:51:58.305, A100-SXM4-40GB, P0, 36, 32 %, 19 %, 40537 MiB, 6134 MiB, 34403 MiB
2023/12/04 14:51:58.307, A100-SXM4-40GB, P0, 32, 0 %, 0 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:51:58.308, A100-SXM4-40GB, P0, 53, 95 %, 10 %, 40537 MiB, 34883 MiB, 5654 MiB
2023/12/04 14:51:58.309, A100-SXM4-40GB, P0, 36, 19 %, 0 %, 40537 MiB, 8175 MiB, 32362 MiB
2023/12/04 14:51:58.310, A100-SXM4-40GB, P0, 47, 63 %, 30 %, 40537 MiB, 39554 MiB, 983 MiB
2023/12/04 14:51:58.311, A100-SXM4-40GB, P0, 58, 81 %, 14 %, 40537 MiB, 35895 MiB, 4642 MiB
2023/12/04 14:51:58.312, A100-SXM4-40GB, P0, 40, 0 %, 0 %, 40537 MiB, 31811 MiB, 8726 MiB
2023/12/04 14:51:58.312, A100-SXM4-40GB, P0, 42, 68 %, 38 %, 40537 MiB, 6525 MiB, 34012 MiB
