file,train_execution,overall_execution,cpu_usage,gpu_usage,resolution,train_batch_size,num_train_epochs,max_train_steps,learning_rate,gradient_accumulation_steps,num_dataset,file_size
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:06:00,0:06:34,"4,4","1,460,317,945",256,4,2,100,1,4,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:03:04,0:03:34,"3,6","1,459,910,631",256,4,2,500,1,1,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:05:12,0:05:41,"3,8","1,460,619,402",256,4,2,500,1,2,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:08:39,0:09:08,"4,2","1,459,723,616",256,4,2,500,1,4,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:06:12,0:06:41,"5,1","1,459,819,841",256,4,2,1000,1,1,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:15:43,0:16:16,"3,8","1,459,631,395",256,4,2,1000,1,2,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:20:35,0:21:04,"3,5","1,459,879,255",256,4,2,1000,1,4,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:01:01,0:01:33,"3,2","1,460,377,169",512,4,2,100,1,1,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:02:06,0:02:45,"3,4","1,459,853,792",512,4,2,100,1,2,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:03:22,0:03:50,"3,7","1,459,015,226",512,4,2,100,1,4,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:05:19,0:05:47,"4,3","146,043,973",512,4,2,500,1,1,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:09:04,0:09:42,"2,2","1,459,763,384",512,4,2,500,1,2,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:14:40,0:15:15,"14,3","1,459,131,193",512,4,2,500,1,4,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:11:22,0:11:52,4,"1,460,377,169",512,4,2,1000,1,1,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:19:05,0:19:42,6,"1,459,853,792",512,4,2,1000,1,2,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:36:55,0:37:40,"3,2","1,459,040,785",512,4,2,1000,1,4,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:01:48,0:02:27,2,"1,459,800,005",256,4,6,100,1,1,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:00:58,0:01:26,"3,2","1,460,619,402",256,4,6,100,1,2,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:01:37,0:02:04,"3,4","1,459,723,616",256,4,6,100,1,4,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:02:58,0:03:27,"2,7","1,459,819,841",256,4,6,500,1,1,50,6232832
https://storage.googleapis.com/training-dataset-tamlops/train-00000-of-00001-566cc9b19d7203f8.parquet,0:06:22,0:06:58,"2,1","1,460,619,402",256,4,6,500,1,2,50,6232832
